종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
224060,더코디,KOSDAQ,반도체,"5,840",360,6.57,"27,730,644,320"
213420,덕산네오룩스,KOSDAQ,반도체,"38,150","-2,200",-5.45,"947,309,478,850"
317330,덕산테코피아,KOSDAQ,반도체,"35,800",-700,-1.92,"657,911,922,400"
077360,덕산하이메탈,KOSDAQ,일반전기전자,"6,350",-70,-1.09,"288,524,962,700"
090410,덕신하우징,KOSDAQ,금속,"1,886",-6,-0.32,"86,914,603,170"
263600,덕우전자,KOSDAQ,일반전기전자,"7,700",-80,-1.03,"122,663,387,000"
194480,데브시스터즈,KOSDAQ,디지털컨텐츠,"46,350","2,600",5.94,"556,124,913,000"
263800,데이타솔루션,KOSDAQ,정보기기,"5,610",-130,-2.26,"90,973,891,800"
206560,덱스터,KOSDAQ,오락·문화,"7,770",70,0.91,"197,449,188,720"
261200,덴티스,KOSDAQ,의료·정밀기기,"9,280",10,0.11,"146,714,016,000"
067990,도이치모터스,KOSDAQ,유통,"5,930",50,0.85,"184,906,591,500"
006620,동구바이오제약,KOSDAQ,제약,"6,110",50,0.83,"173,921,101,120"
100130,동국S&C,KOSDAQ,금속,"2,960",-30,-1.00,"169,143,280,000"
005160,동국산업,KOSDAQ,금속,"9,950",320,3.32,"539,732,595,900"
075970,동국알앤에스,KOSDAQ,비금속,"3,425",30,0.88,"63,020,000,000"
086450,동국제약,KOSDAQ,제약,"16,680",410,2.52,"741,592,800,000"
099410,동방선기,KOSDAQ,운송장비·부품,"2,520",65,2.65,"35,280,000,000"
033500,동성화인텍,KOSDAQ,화학,"12,250",90,0.74,"367,371,301,500"
025950,동신건설,KOSDAQ,건설,"27,150","1,550",6.05,"228,060,000,000"
088130,동아엘텍,KOSDAQ,기계·장비,"8,230",-90,-1.08,"87,755,979,740"
041930,동아화성,KOSDAQ,화학,"7,410",10,0.14,"117,078,000,000"
060380,동양에스텍,KOSDAQ,금속,"1,912",6,0.31,"37,666,400,000"
079960,동양이엔피,KOSDAQ,IT부품,"20,650",0,0.00,"162,309,000,000"
228340,동양파일,KOSDAQ,비금속,"2,255",0,0.00,"45,100,000,000"
088910,동우팜투테이블,KOSDAQ,음식료·담배,"2,785",20,0.72,"71,941,462,740"
094170,동운아나텍,KOSDAQ,반도체,"19,890",130,0.66,"376,970,814,090"
013120,동원개발,KOSDAQ,건설,"2,765",15,0.55,"251,084,396,500"
109860,동일금속,KOSDAQ,금속,"9,400",0,0.00,"85,540,000,000"
032960,동일기연,KOSDAQ,IT부품,"11,330",90,0.80,"43,127,520,370"
023790,동일철강,KOSDAQ,금속,931,-17,-1.79,"18,352,492,977"
005290,동진쎄미켐,KOSDAQ,반도체,"44,700","-3,250",-6.78,"2,298,227,881,800"
025900,동화기업,KOSDAQ,종이·목재,"61,900",-300,-0.48,"1,251,332,950,500"
131970,두산테스나,KOSDAQ,반도체,"47,100","-1,150",-2.38,"801,009,258,600"
073190,듀오백,KOSDAQ,기타제조,"2,635",-5,-0.19,"31,535,785,400"
