종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"012510","더존비즈온","KOSPI","서비스업","43450","-700","-1.59","1320131964800"
"004830","덕성","KOSPI","화학","10250","-240","-2.29","160720000000"
"004835","덕성우","KOSPI","화학","13410","-750","-5.30","18666720000"
"024900","덕양산업","KOSPI","운수장비","4680","-100","-2.09","152404106400"
"145720","덴티움","KOSPI","의료정밀","132000","1200","0.92","1461085560000"
"002150","도화엔지니어링","KOSPI","서비스업","7700","0","0.00","259644000000"
"460850","동국씨엠","KOSPI","철강금속","6560","-40","-0.61","196135183360"
"460860","동국제강","KOSPI","철강금속","11580","120","1.05","574460836860"
"001230","동국홀딩스","KOSPI","철강금속","8250","30","0.36","262353984750"
"023450","동남합성","KOSPI","화학","31550","1100","3.61","110425000000"
"004140","동방","KOSPI","운수창고업","2065","-15","-0.72","99061696790"
"007590","동방아그로","KOSPI","화학","6340","-30","-0.47","86335438180"
"005960","동부건설","KOSPI","건설업","5070","-20","-0.39","116328326010"
"005965","동부건설우","KOSPI","건설업","22750","0","0.00","5135403000"
"026960","동서","KOSPI","유통업","17530","-10","-0.06","1747741000000"
"002210","동성제약","KOSPI","의약품","5150","-10","-0.19","134419995500"
"102260","동성케미컬","KOSPI","서비스업","4580","20","0.44","227578954240"
"000640","동아쏘시오홀딩스","KOSPI","기타금융","114200","1500","1.33","725045864600"
"170900","동아에스티","KOSPI","의약품","74000","600","0.82","637512368000"
"028100","동아지질","KOSPI","건설업","13110","140","1.08","184230189060"
"282690","동아타이어","KOSPI","화학","12100","-10","-0.08","166169481500"
"001520","동양","KOSPI","비금속광물","977","3","0.31","233194329551"
"001527","동양2우B","KOSPI","비금속광물","11640","280","2.46","3591743160"
"084670","동양고속","KOSPI","운수창고업","11840","-50","-0.42","34283536960"
"082640","동양생명","KOSPI","보험","6340","20","0.32","1023013428900"
"001525","동양우","KOSPI","비금속광물","5840","-10","-0.17","3607549040"
"008970","동양철관","KOSPI","철강금속","696","7","1.02","82744161840"
"092780","동양피스톤","KOSPI","운수장비","4545","-5","-0.11","59850650700"
"049770","동원F&B","KOSPI","음식료품","32800","300","0.92","632896336000"
"018500","동원금속","KOSPI","운수장비","1804","-36","-1.96","84345899132"
"006040","동원산업","KOSPI","기타금융","38900","-300","-0.77","1808175668500"
"030720","동원수산","KOSPI","농업, 임업 및 어업","6750","-30","-0.44","31413183750"
"014820","동원시스템즈","KOSPI","화학","47600","-3100","-6.11","1379985023200"
"014825","동원시스템즈우","KOSPI","화학","25200","-400","-1.56","6655597200"
"111380","동인기연","KOSPI","기타제조업","23350","-250","-1.06","143088800000"
"163560","동일고무벨트","KOSPI","화학","8300","-480","-5.47","115370000000"
"004890","동일산업","KOSPI","철강금속","44100","50","0.11","106951981500"
"002690","동일제강","KOSPI","철강금속","1875","-17","-0.90","38063175000"
"000020","동화약품","KOSPI","의약품","9540","0","0.00","266466223800"
"000150","두산","KOSPI","기타금융","147000","-3600","-2.39","2429003745000"
"000157","두산2우B","KOSPI","기타금융","77900","-200","-0.26","69567660200"
"454910","두산로보틱스","KOSPI","기계","92100","300","0.33","5969920158000"
"241560","두산밥캣","KOSPI","기계","52400","-800","-1.50","5253056298400"
"034020","두산에너빌리티","KOSPI","기계","17890","-180","-1.00","11459638901940"
"000155","두산우","KOSPI","기타금융","69400","-700","-1.00","277354462800"
